# Mahaverse endpoint ping — 2026-06-04T21:57:29+05:30
# prod=https://www.mahabehavioralhealth.com/mahaverse-backend-logics test=https://www.mahabehavioralhealth.com/mahaverse-backend-test timeout=25s get=true

test	OPTIONS	client_auth_units_helpers.php	403
test	GET	client_auth_units_helpers.php	403
test	OPTIONS	client-behaviors.php	200
test	GET	client-behaviors.php	401
test	OPTIONS	client-domain.php	200
test	GET	client-domain.php	401
test	OPTIONS	client-modules.php	200
test	GET	client-modules.php	401
test	OPTIONS	client-program-detail.php	200
test	GET	client-program-detail.php	401
test	OPTIONS	client-programs.php	200
test	GET	client-programs.php	401
test	OPTIONS	clients-modules-backup.php	200
test	GET	clients-modules-backup.php	401
test	OPTIONS	client-target-detail.php	200
test	GET	client-target-detail.php	401
test	OPTIONS	client-target.php	200
test	GET	client-target.php	401
test	OPTIONS	create-wrapper.php	410
test	GET	create-wrapper.php	410
test	OPTIONS	dashboard-stats.php	200
test	GET	dashboard-stats.php	401
test	OPTIONS	diagnosis-codes.php	200
test	GET	diagnosis-codes.php	401
test	OPTIONS	document-types.php	200
test	GET	document-types.php	401
test	OPTIONS	download-client-document.php	200
test	GET	download-client-document.php	401
test	OPTIONS	download-client-upload.php	200
test	GET	download-client-upload.php	401
test	OPTIONS	drive_oauth_callback.php	204
test	GET	drive_oauth_callback.php	400
test	OPTIONS	drive_oauth_start.php	204
test	GET	drive_oauth_start.php	302
test	OPTIONS	facility-types.php	200
test	GET	facility-types.php	401
test	OPTIONS	get-all.php	200
test	GET	get-all.php	401
test	OPTIONS	get-clients.php	204
test	GET	get-clients.php	401
test	OPTIONS	get-sessions.php	204
test	GET	get-sessions.php	401
test	OPTIONS	get-users.php	200
test	GET	get-users.php	401
test	OPTIONS	health-auth.php	204
test	GET	health-auth.php	200
test	OPTIONS	locations.php	204
test	GET	locations.php	401
test	OPTIONS	login.php	200
test	GET	login.php	405
test	OPTIONS	logout.php	204
test	GET	logout.php	405
test	OPTIONS	me-permissions.php	204
test	GET	me-permissions.php	401
test	OPTIONS	oauth-debug.php	404
test	GET	oauth-debug.php	404
test	OPTIONS	payer-payment-entries.php	200
test	GET	payer-payment-entries.php	401
test	OPTIONS	programs-dev.php	200
test	GET	programs-dev.php	401
test	OPTIONS	programs.php	200
test	GET	programs.php	401
test	OPTIONS	provider-service-codes.php	200
test	GET	provider-service-codes.php	401
test	OPTIONS	providers.php	200
test	GET	providers.php	401
test	OPTIONS	rbac-catalog.php	204
test	GET	rbac-catalog.php	401
test	OPTIONS	rbac-matrix.php	204
test	GET	rbac-matrix.php	401
test	OPTIONS	rbac-save-role.php	204
test	GET	rbac-save-role.php	405
test	OPTIONS	reports-old.php	200
test	GET	reports-old.php	401
test	OPTIONS	reports.php	200
test	GET	reports.php	401
test	OPTIONS	reset-password-with-otp.php	200
test	GET	reset-password-with-otp.php	200
test	OPTIONS	send-otp.php	204
test	GET	send-otp.php	400
test	OPTIONS	service-codes.php	200
test	GET	service-codes.php	401
test	OPTIONS	session-notes.php	204
test	GET	session-notes.php	401
test	OPTIONS	sso_login.php	404
test	GET	sso_login.php	404
test	OPTIONS	staff-backup.php	204
test	GET	staff-backup.php	401
test	OPTIONS	staff.php	204
test	GET	staff.php	401
test	OPTIONS	test.php	200
test	GET	test.php	200
test	OPTIONS	test-simple.php	200
test	GET	test-simple.php	200
test	OPTIONS	treatment-types.php	200
test	GET	treatment-types.php	401
test	OPTIONS	update-clients.php	200
test	GET	update-clients.php	401
test	OPTIONS	update-users.php	200
test	GET	update-users.php	401
test	OPTIONS	upload-client-document.php	200
test	GET	upload-client-document.php	401
test	OPTIONS	upload-staff-document.php	204
test	GET	upload-staff-document.php	401
test	OPTIONS	verify-otp.php	204
test	GET	verify-otp.php	400
test	OPTIONS	verify.php	204
test	GET	verify.php	401
test	OPTIONS	view-client-document.php	200
test	GET	view-client-document.php	401
test	OPTIONS	view-client-upload.php	200
test	GET	view-client-upload.php	401

# Done. Review: 000 = network/TLS failure; 404 = wrong path or missing deploy.
